,Name,Role,Organisation,School,Course of study,Full Bio,Photo,,,,,
,,,,,,,,,,,Backup plan,12/4
Card,Aaron Ng,Intelligence Consultant,Recorded Future,,,,,,,,Ideal state done,12/4
Full profile,Aaron Ng,Intelligence Consultant,Recorded Future,Stanford University,Management Science and Engineering,"Aaron Ng is an Intelligence Consultant at Recorded Future, a leading SaaS company offering Security Intelligence solutions for over 90% of Fortune 100 Companies. He is responsible for designing and implementing intelligence strategies and solutions for accounts encompassing Government Agencies, Banking and Finance, Critical Infrastructure, Healthcare, E-Commerce Enterprises, Telecommunications and Internet Service Providers. Before joining Recorded Future, Aaron concluded 12 years of Active Duty in the Singapore Armed Forces as a Military Intelligence Officer. In his past immediate role, Aaron was instrumental in establishing the Defence Cyber Organisation (DCO), which is akin to Singapore’s Cyber Command. Prior to professional employment, Aaron read Management Science and Engineering at Stanford University, and Chemical Engineering at University College London (UCL).  ",https://drive.google.com/open?id=16xojBUw6GMqgN2_RkAZFHfLH0PjmVRsB,,,,Hard hard deadline for ideal,16/4
Filter,,Intelligence Consultant,Recorded Future,Stanford University,Management Science and Engineering,,,,,,Mentee application start,17/4
Card,Adrian Liew,Chief Executive,Beknown,,,,,,,,,
Full profile,Adrian Liew,Chief Executive,Beknown,,,"Adrian Liew founded Beknown in 2016 and has been a communications and digital media consultant for the past 10 years. He has been advising high-ranking executives and organisations on effectively reaching out to their target audiences and developing digital solutions to achieve their communications goals. Before his time at Beknown, Adrian had a rewarding career as an associate lecturer in Republic Polytechnic's School of Management and Communications. He also acted as the Director of PAP Corporate Affairs and New Media, where he managed and formulated the company's corporate communications and public communication strategies. Additionally, in his previous role as Manager of Capability Development in the Ministry of Defense, Adrian was instrumental in defence capability management and business process analyses. He hopes to give back to the community by sharing his experiences, particularly in the areas of digital transformation and strategy, copywriting, and reputation management. ",https://drive.google.com/open?id=1AGw7q8Oft37gtOdfJK_pfxiLnnsDFKKe,,,,,
Filter,Adrian Liew,Chief Executive,Beknown,Nanyang Technological University,Computer Engineering,,,,,,Mentorship plan:,https://docs.google.com/document/d/1_KJoHd61pNBheRpbfFDHIOOBlTnC0UBUf_6wxlIppOo/edit
Card,Alayna Ling,Associate Consultant,Bain & Company,,,,,,,,,
Full profile,Alayna Ling,Associate Consultant,Bain & Company,The London School of Economics and Political Science,Management,"Alayna Ling is an Associate Consultant at Bain & Company (Singapore), a consulting firm that advises on corporate strategy, operations and private equity investments for MNCs and regional conglomerates. Her experience at Bain has spanned across multiple industries (consumer products, healthcare, private equity, industrial manufacturing), with the chance to work with clients from all over Southeast Asia. Before joining Bain as an Associate Consultant, she interned with PwC's Human Resources team, and spent a summer as an intern with Shopee's customer experience (CX) team. Alayna understands what it feels like to be faced with uncertainty, and hopes that sharing her experiences can help students feeling the same way. She graduated from the London School of Economics (LSE) with a First Class Honours in Management in 2018. ",https://drive.google.com/open?id=1_l2W0OXq15kH-tTMObKl9V0y3kW1izKU,,,,,
Filter,Alayna Ling,Associate Consultant,Bain & Company,The London School of Economics and Political Science,Management,,,,,,,
Card,Adrian Liew,Founder,Beknown,,,,,,,,Hard hard hard deadline for ideal,19/4
Card,Alvin Seo,Manager (Group Sustainability),Singtel,,,,,,,,,
Full profile,Alvin Seo,Manager (Group Sustainability),Singtel,National University of Singapore,Envrionmental Management  and Business Administration,"Alvin Seo is a Manager of Group Sustainability at Singtel. He believes in creating scalable impact for the community and environment, and his work and study experiences span across many countries, including Australia, China, Europe, Singapore and the US. Alvin was also recognised as one of the ten United Nations Global Compact SDG Pioneers in 2019 and was selected to represent Singapore in 2018 alongside delegates from 51 countries at the 22nd Asia-Europe Foundation Summer University: Sustainable Tourism and Youth Driving Green Growth. Prior to joining Singtel, he was a undergraduate teaching assistant in the National University of Singapore and a Product Marketing and Sales Intern in UgMO Technologies. He holds a MSc in Environmental Management and a Bachelor of Business Administration from the National University of Singapore.",https://drive.google.com/open?id=10KYy4rZ97CviVrOSp-HkXcfOinpHNNKU,,,,,
Filter,,Manager (Group Sustainability),Singtel,National University of Singapore,Envrionmental Management  and Business Administration,,,,,,,
Card,Alvin Tan,Director and Head of Public Policy and Economics (Asia-Pacific),LinkedIn,,,,,,,,,
Full profile,Alvin Tan,Director and Head of Public Policy and Economics (Asia-Pacific),LinkedIn,,,"Alvin Tan is the Director and Head of Public Policy & Economics (APAC) at LinkedIn. He was previously Facebook’s Head of Trust & Safety (Southeast Asia), where he helped to keep Facebook’s platforms and its users safe. Alvin’s career spans the private, public and non-profit sectors. He began as a tank platoon commander and a military intelligence officer in the Singapore Armed Forces. He then worked in Oxfam Australia, the United Nations (in the Office of the UN Secretary-General in New York), and was Vice President at Goldman Sachs (Asia-Pacific) before joining Facebook. Alvin is also active in trade associations (US-ASEAN Business Council and Asia Business Trade Association), and helped build the Asia Internet Coalition as Vice Chairman. He is also passionate about the local community, having volunteered in the Kreta Ayer-Kim Seng (KAKS) community for 14 years primarily serving seniors and the poor. Currently, he is Secretary to the KAKS Citizens Consultative Committee, Chair of the KAKS Inter-Racial & Religious Confidence Circle (IRCC), and a member of the REACH Supervisory Panel and the Media Literacy Council. Having joined Advisory's Board in his quest to contribute to the youth community, Alvin hopes to share his many experiences and inspire Advisory’s members to pursue life anchored on humility, integrity, grit and respectfulness. ",https://drive.google.com/open?id=1g2k8z8bBH92ohZZsXzbzE0GA5pQfZQ6-,,,,,
Filter,,Director and Head of Public Policy and Economics (Asia-Pacific),LinkedIn,,,,,,,,,
Card,Andrew Pang,Chief Consultant,Mycelium Asia Pte Ltd,,,,,,,,,
Full profile,Andrew Pang,Chief Consultant,Mycelium Asia Pte Ltd,,,"Andrew Pang is currently the Chief Consultant of Mycelium Asia Pte Ltd, where he is involved in event planning, menu design and service training. Additionally, he sits on the Youth Action Plan panel under the Ministry of Culture, Community and Youth and serves on the management committee of the Eurasian Association. These committees work to tackle matters pertaining to the environment, mental health and inclusivity for all in Singapore. He was previously the managing director for The Belljar, Singapore's first dedicated whisky restaurant where food was paired to the tipple. Andrew wants to build a community that strives to serve, create efficient solutions and improve systems through collaborations and partnerships. ",https://drive.google.com/open?id=1EvogS5xPL9sSll4yC2VbD2OLOk0HWuQE,,,,,
Filter,,Chief Consultant,Mycelium Asia Pte Ltd,,,,,,,,,
Card,Andrew Tan,Country Manager,Wantedly Singapore,,,,,,,,,
Full profile,Andrew Tan,Country Manager,Wantedly Singapore,,,"Andrew Tan is a Country Manager from Wantedly Singapore. Wantedly Singapore aims to connect companies and talents with similar values, which is aligned with Andrew's passion for building ecosystems that empower people.  Before joining Wantedly, he co-founded a social enterprise, The Shiok Collective, which aims to celebrate different communities in Singapore through stories and promoting local brands and designers. Andrew was also previously the Head of Enterprise Solutions at BeMyGuest, and helped to launch Triple 2 Studio, a boutique co-living space. He served as the Immediate Past President of the University At Buffalo (UB) Alumni Singapore Chapter, and now sits on the Board of Directors for UB Alumni Association, which has over 200,000 members globally. He aspires to be a social venture capital / impact investor to further his passion of helping people by building ecosystems.",https://drive.google.com/open?id=1niyED_AvlvhYMHvlyL7rIP09tWsMEvan,,,,,
Filter,,Country Manager,Wantedly Singapore,,,,,,,,,
Card,Andrzej Surzyn ,Associate (Asset Management and Private Equity),Cerberus Capital Management,,,,,,,,,
Full profile,Andrzej Surzyn ,Associate (Asset Management and Private Equity),Cerberus Capital Management,,,"Andrzej Surzyn currently works as an Associate for Asset Management and Private Equity at Cerberus Capital Management in London, where he is responsible for overseeing existing real estate investments of the fund, including in residential estates, hotels, and offices; and facilitating business planning, strategic decisions and asset disposals in this area. Having graduated in 2016 from HEC Paris with a Masters in International Finance—according to The Financial Times, the top finance programme worldwide—he possesses around 5 years of professional experience in the financial services industry. During his schooling days, Andrzej also undertook an exchange semester at the National University of Singapore. His previous experiences include mergers and acquisitions for investment banking at Goldman Sachs London, where he worked on consumer, retail, healthcare, and real estate transactions; management consulting at Oliver Wyman Singapore, with a focus on financial services and public sector strategy; and transaction advisory in the financial due diligence team at EY. ",https://drive.google.com/open?id=1JMyu7ninj47dP5xB5R9eEp0NYw-1HYIw,,,,,
Filter,,Associate (Asset Management and Private Equity),Cerberus Capital Management,,,,,,,,,
Card,Anira Perera,QMS Programme Lead,Advanced Accelerator Applications,,,,,,,,,
Full profile,Anira Perera,QMS Programme Lead,Advanced Accelerator Applications,University of Cambridge,Chemical Engineering,"Anira Perera is the QMS Programme Lead at Advanced Accelerator Applications (a Novartis Company), which is based in France. Prior to this, she worked at Novartis in New Jersey, as an NTO Global Engineering STEP Associate, where she rotated between two different Novartis sites -- in Singapore, she was in the Site Engineering Department for Solids and Biological site, and in New Jersey, she was in the Operational Excellence (OPEX) Department for a Cell and Gene Therapy site. After graduating from the University of Cambridge with both a Bachelor's and Master's in Chemical Engineering, Anira started working at pharmaceutical industry giant Novartis, as part of a young leaders programme. She was previously based in Singapore, studying at the Singapore Chinese Girls' School for her 'O' Levels and Tanglin Trust School for her 'A' Levels, before she went on to university in England. Since then, Anira has been back to Singapore on occasion during her summer holidays and internships.",https://drive.google.com/open?id=1rkwKKENSVny8MMQvzYmVJMoKOF_MFGaq,,,,,
Filter,,QMS Programme Lead,Advanced Accelerator Applications,University of Cambridge,Chemical Engineering,,,,,,,
Card,Arrchana Muruganantham,Research Engineer ,Airbus Group Inc.,,,,,,,,,
Full profile,Arrchana Muruganantham,Research Engineer ,Airbus Group Inc.,National University of Singapore,Computational Intelligence and Dynamic Evolutionary Computation,"Arrchana Muruganantham is a Research Engineer in Airbus Group Inc.'s Digital Innovation team, Hangar of the Future, where she works on data science and analytics projects; and a Teaching Assistant at the National University of Singapore's School of Computing — where she lectures for the Computer Engineering Principles and Practice course, and tutors and provides laboratory assistance for the Programming for Computer Interfaces course. Arrchana is also involved in DataKind Singapore — a non-profit focussed on harnessing the power of data science to help non-profit, non-governmental, and charity organisations with their data problems. She graduated from the National University of Singapore with a Bachelor's in Electrical Engineering, and a PhD in computational intelligence and dynamic evolutionary computation, specialising in evolutionary algorithms and applied machine learning techniques. In the course of her doctoral research, Arrchana designed and implemented algorithms to solve dynamic multi-objective optimisation problems, by using prediction techniques in tandem with evolutionary computation paradigms to attain efficient tracking and convergence of the time-varying solutions.",https://drive.google.com/open?id=1lx6yFTUhz1eVJHSeMyJ-tLGdzGG5jrcq,,,,,
Filter,,Research Engineer ,Airbus Group Inc.,National University of Singapore,Computational Intelligence and Dynamic Evolutionary Computation,,,,,,,
Card,Bhargav Sriganesh,Desk Officer (ASEAN Directorate),Ministry of Foreign Affairs Singapore,,,,,,,,,
